R,G,B,W
327,250,207,825
324,250,207,822
320,249,207,818
318,249,206,815
316,249,206,812
313,249,206,809
311,248,205,807
307,248,205,803
303,248,204,797
298,247,204,792
294,247,203,787
292,246,203,785
288,246,202,780
284,246,202,775
282,245,202,774
281,245,201,772
276,245,201,767
269,244,200,759
263,244,199,752
259,243,199,747
253,243,198,741
236,241,196,722
221,240,194,705
334,250,208,832
369,253,212,873
368,253,212,871
367,253,212,870
365,253,212,868
364,253,211,867
363,253,211,864
359,252,211,860
357,252,211,858
355,252,211,856
354,252,210,856
355,252,210,856
353,252,210,854
351,252,210,851
349,252,210,849
347,251,209,847
345,251,209,844
342,251,209,841
337,251,208,836
333,250,208,832
329,250,207,827
325,250,207,823
324,250,207,821
322,249,207,819
318,249,206,815
316,249,206,812
316,249,206,812
315,249,206,811
311,249,205,807
302,248,204,796
295,247,203,789
298,247,204,793
300,248,204,795
301,248,204,797
299,248,204,794
293,247,203,788
277,246,201,769
273,246,200,765
267,245,200,759
270,246,200,762
281,246,201,775
321,250,206,819
352,252,210,853
350,252,210,851
349,252,210,850
349,252,210,850
351,252,210,852
349,252,210,850
347,252,210,848
346,252,209,846
338,251,208,837
326,250,207,824
321,250,207,819
330,251,208,829
331,251,208,830
327,250,207,825
327,250,207,826
328,250,207,827
322,250,207,820
315,249,206,813
323,250,207,822
320,250,206,818
310,250,205,808
306,249,205,803
349,252,210,851
335,252,208,835
316,250,206,814
367,254,212,872
373,255,213,878
368,254,212,872
363,254,212,867
360,254,211,863
356,253,211,858
352,253,210,854
349,253,210,851
348,253,210,850
342,252,209,843
332,252,208,832
323,251,207,822
324,251,207,823
327,251,207,826
321,251,207,819
308,250,205,805
303,249,205,799
315,250,206,813
335,252,209,836
343,253,209,845
390,256,215,897
393,256,215,900
391,256,215,898
389,256,215,896
388,256,215,894
385,256,214,891
383,255,214,889
381,255,214,886
379,255,214,883
373,254,213,877
367,254,212,870
360,253,211,863
353,253,210,854
348,252,210,848
344,252,209,844
337,252,209,837
333,251,208,832
327,251,207,825
320,250,206,816
297,248,204,792
267,246,200,758
258,245,199,749
371,254,212,874
374,254,213,877
374,254,213,877
374,254,213,877
372,254,213,875
368,254,212,870
362,253,211,864
357,253,211,858
350,253,210,850
344,252,209,844
340,252,209,839
345,252,209,845
346,252,209,845
347,252,210,847
338,251,209,837
319,250,206,816
295,248,203,790
317,250,206,814
313,249,206,810
355,253,211,857
389,256,215,894
389,256,215,894
389,256,215,894
389,256,215,893
388,256,215,893
388,256,215,892
387,256,214,891
385,255,214,889
382,255,214,886
379,255,214,882
376,255,213,879
373,255,213,876
368,254,212,870
362,254,212,864
357,253,211,858
353,253,211,853
342,252,209,841
333,252,208,832
342,252,209,842
337,252,209,836
323,251,207,820
327,251,207,825
354,253,211,856
378,255,213,880
377,255,213,879
375,254,213,877
373,254,213,875
370,254,213,871
364,253,212,865
355,253,211,855
352,253,211,851
359,253,211,860
361,253,212,862
356,253,211,856
356,253,211,857
355,253,211,855
355,253,211,856
351,253,210,851
335,252,209,834
325,251,207,822
344,252,210,843
375,254,213,878
380,255,214,882
379,255,214,881
377,255,214,880
375,254,214,877
373,254,213,875
372,254,213,873
372,254,213,874
373,254,213,874
372,254,213,873
370,254,213,871
368,253,213,869
365,253,212,865
361,253,212,861
356,253,211,856
347,252,210,845
352,252,211,851
348,252,210,847
349,252,210,848
355,252,211,855
362,253,212,862
366,253,212,866
370,253,213,870
372,254,213,873
373,254,213,874
372,253,213,873
371,253,213,871
371,253,213,871
370,253,213,871
369,253,213,869
368,253,213,868
366,253,213,866
366,253,213,865
366,253,212,865
362,253,212,862
353,252,211,852
339,251,209,835
334,250,209,830
322,250,207,816
306,248,205,799
341,251,209,838
370,253,213,869
369,253,213,868
367,252,213,866
366,252,212,864
364,252,212,862
366,252,212,864
366,252,212,864
363,252,212,861
358,251,211,855
356,251,211,853
357,251,211,854
352,251,210,848
350,250,210,846
347,250,210,842
332,249,208,826
326,249,207,819
315,248,206,806
361,251,211,857
365,251,212,862
365,251,212,861
364,251,212,861
364,251,212,860
363,251,212,859
362,251,211,858
362,251,211,858
361,251,211,857
360,251,211,856
360,251,211,855
360,251,211,856
361,251,211,856
362,251,211,857
362,251,211,858
363,251,211,858
362,251,211,858
362,251,211,858
361,251,211,856
357,250,211,852
344,249,209,838
336,249,208,829
318,248,206,809
356,250,211,851
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
367,251,212,863
