,"Mjerenje RGB 3,5ml bijelog vina",,,,,
,Vrijeme između mjerenja [ms],R,G,B,W,Vrijednost dodira
,617,537,672,864,2233,1093
,617,526,660,846,2188,1090
,617,520,654,836,2165,1091
,617,516,650,828,2146,1092
,617,512,645,820,2130,1089
,617,506,639,810,2107,1096
,617,503,635,803,2093,1092
,617,498,630,796,2075,1068
,617,492,624,789,2056,1099
,617,491,623,787,2051,1113
,617,487,619,783,2040,1163
,617,485,617,780,2032,1214
,617,483,615,779,2027,1237
,617,481,613,776,2020,1150
,617,479,610,773,2011,1202
,617,473,604,767,1993,1122
,617,471,601,764,1985,1244
,617,469,599,762,1979,1229
,617,468,597,760,1974,1211
,617,467,596,761,1972,1217
,617,467,596,763,1973,1229
,617,467,596,764,1974,1226
,617,467,596,764,1972,1222
,617,467,596,764,1970,1223
,617,466,595,764,1966,1232
,617,464,593,762,1956,1225
,617,461,590,758,1946,1228
,617,458,586,754,1933,1225
,617,455,583,748,1917,1224
,617,450,580,739,1894,1227
,617,445,574,727,1867,1229
,617,438,566,713,1837,1227
,617,430,558,698,1806,1224
,617,423,550,683,1775,1226
,617,416,542,668,1744,1229
,617,410,535,657,1721,1228
,617,407,532,649,1708,1223
,617,400,524,636,1680,1225
,617,395,518,626,1658,1227
,617,391,513,619,1642,1229
,617,387,508,612,1625,1224
,617,383,505,607,1611,1225
,617,379,501,601,1596,1227
,617,374,494,592,1574,1228
,617,369,488,584,1554,1224
,617,365,483,576,1539,1224
,617,356,472,562,1506,1233
,617,352,467,556,1492,1233
,617,350,465,553,1485,1223
,617,348,461,549,1475,1216
,617,346,458,544,1465,1220
,617,343,456,540,1455,1221
,617,341,453,536,1445,1218
,617,338,450,532,1436,1217
,617,337,448,530,1429,1218
,617,335,446,527,1422,1223
,617,334,445,523,1414,1220
,617,332,443,518,1405,1219
,617,330,441,514,1398,1219
,617,329,440,510,1391,1222
,617,328,439,507,1386,1221
,617,328,439,505,1385,1219
,617,329,440,505,1386,1220
,617,331,442,506,1392,1222
,617,333,445,510,1403,1222
,617,336,449,514,1415,1218
,617,340,453,519,1429,1219
,617,343,457,524,1440,1221
,617,345,460,527,1447,1220
,617,347,462,529,1453,1215
,617,348,464,530,1458,1218
,617,349,465,533,1464,1219
,617,354,471,539,1480,1223
,617,355,472,543,1487,1219
,617,357,475,548,1498,1221
,617,363,482,560,1523,1222
,617,370,491,578,1561,1222
,617,380,503,597,1607,1220
,617,397,523,625,1672,1219
,617,409,536,642,1722,1221
,617,406,533,629,1706,1224
,617,393,519,598,1639,1223
,617,379,504,568,1578,1220
,617,379,506,569,1580,1222
,617,375,503,564,1563,1228
,617,373,500,552,1550,1225
,617,377,507,555,1564,1224
,617,434,574,650,1795,1247
,617,577,747,819,2309,1228
,617,1081,1331,1461,4182,195
,617,1100,1351,1485,4259,191
,617,1101,1349,1482,4262,247
,617,1099,1347,1480,4259,1226
,617,1100,1347,1481,4265,1232
,617,1102,1350,1480,4266,1224
,617,1099,1348,1475,4253,1219
,617,1091,1339,1467,4224,1220
,617,1082,1330,1461,4199,1244
,617,1078,1325,1460,4186,1242
,617,1077,1323,1460,4186,1235
,617,1079,1327,1464,4196,1228
,617,1084,1332,1470,4211,1229
,617,1093,1339,1479,4238,1231
,617,1102,1346,1482,4267,1236
,617,1110,1358,1487,4294,1238
,617,1123,1374,1505,4332,1246
,617,1130,1381,1515,4353,1249
,617,1126,1377,1510,4342,1250
,617,1115,1364,1496,4303,1238
,617,1103,1352,1481,4261,1238
,617,1096,1343,1473,4234,1241
,617,1090,1339,1468,4217,1240
,617,1084,1331,1458,4191,1237
,617,1072,1318,1441,4137,1235
,617,1037,1280,1402,4001,1237
,617,974,1211,1335,3772,1239
,617,943,1174,1301,3679,1239
,617,973,1208,1337,3791,1235
,617,994,1235,1360,3844,1237
,617,984,1222,1344,3799,1239
,617,950,1181,1304,3683,1240
,617,907,1132,1260,3533,1236
,617,853,1073,1198,3338,1236
,617,792,1007,1123,3127,1240
,617,748,958,1065,2977,1242
,617,719,925,1029,2872,1237
,617,687,888,987,2757,1237
,617,656,856,952,2658,1239
,617,642,837,935,2615,1241
,617,637,832,934,2598,1238
,617,636,832,935,2601,1235
,617,641,838,948,2629,1239
,617,650,848,967,2671,1241
,617,659,859,982,2711,1242
,617,665,865,986,2728,1242
,617,664,865,978,2716,1243
,617,658,865,959,2676,1246
,617,690,908,976,2755,1243
,617,784,1022,1064,3070,1238
,617,913,1172,1206,3540,1246
,617,1002,1277,1300,3868,1239
,617,778,1003,1034,3058,227
,617,1062,1341,1434,4174,192
